symboling,fueltype,aspiration,doornumber,carbody,drivewheel,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,manufacturer,model,compressionratio_bin,price_per_hp,power_to_weight_ratio,engine_efficiency,avg_mpg,price_per_mpg
3,petrol,std,two,convertible,rwd,88.6,168.8,64.1,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000,21,27,13495.0,alfa-romero,giulia,Low,121.57657657657657,0.04356357927786499,0.8538461538461538,24.0,562.2916666666666
3,petrol,std,two,convertible,rwd,88.6,168.8,64.1,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000,21,27,16500.0,alfa-romero,stelvio,Low,148.64864864864865,0.04356357927786499,0.8538461538461538,24.0,687.5
1,petrol,std,two,hatchback,rwd,94.5,171.2,65.5,52.4,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154,5000,19,26,16500.0,alfa-romero,Quadrifoglio,Low,107.14285714285714,0.05455189514700673,1.013157894736842,22.5,733.3333333333334
2,petrol,std,four,sedan,fwd,99.8,176.6,66.2,54.3,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102,5500,24,30,13950.0,audi,100 ls,Standard,136.76470588235293,0.043645699614890884,0.9357798165137615,27.0,516.6666666666666
2,petrol,std,four,sedan,4wd,99.4,176.6,66.4,54.3,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115,5500,18,22,17450.0,audi,100ls,Low,151.7391304347826,0.04072237960339943,0.8455882352941176,20.0,872.5
2,petrol,std,two,sedan,fwd,99.8,177.3,66.3,53.1,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,15250.0,audi,fox,Low,138.63636363636363,0.043877143996808934,0.8088235294117647,22.0,693.1818181818181
1,petrol,std,four,sedan,fwd,105.8,192.7,71.4,55.7,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,17710.0,audi,100ls,Low,161.0,0.03867791842475387,0.8088235294117647,22.0,805.0
1,petrol,std,four,wagon,fwd,105.8,192.7,71.4,55.7,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,18920.0,audi,5000,Low,172.0,0.037237643872714964,0.8088235294117647,22.0,860.0
1,petrol,turbo,four,sedan,fwd,105.8,192.7,71.4,55.9,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500,17,20,23875.0,audi,4000,Low,170.53571428571428,0.04536616979909268,1.0687022900763359,18.5,1290.5405405405406
0,petrol,turbo,two,hatchback,4wd,99.5,178.2,67.9,52.0,3053,ohc,five,131,mpfi,3.13,3.4,7.0,160,5500,16,22,17859.167,audi,5000s (diesel),,111.61979375000001,0.05240746806419915,1.2213740458015268,19.0,939.9561578947369
2,petrol,std,two,sedan,rwd,101.2,176.8,64.8,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16430.0,bmw,320i,Low,162.67326732673268,0.042171189979123176,0.9351851851851852,26.0,631.9230769230769
0,petrol,std,four,sedan,rwd,101.2,176.8,64.8,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16925.0,bmw,320i,Low,167.5742574257426,0.042171189979123176,0.9351851851851852,26.0,650.9615384615385
0,petrol,std,two,sedan,rwd,101.2,176.8,64.8,54.3,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250,21,28,20970.0,bmw,x1,Low,173.30578512396696,0.044649446494464944,0.7378048780487805,24.5,855.9183673469388
0,petrol,std,four,sedan,rwd,101.2,176.8,64.8,54.3,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250,21,28,21105.0,bmw,x3,Low,174.4214876033058,0.04376130198915009,0.7378048780487805,24.5,861.4285714285714
1,petrol,std,four,sedan,rwd,103.5,189.0,66.9,55.7,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250,20,25,24565.0,bmw,z4,Low,203.01652892561984,0.03960720130932897,0.7378048780487805,22.5,1091.7777777777778
0,petrol,std,four,sedan,rwd,103.5,189.0,66.9,55.7,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400,16,22,30760.0,bmw,x4,Low,169.01098901098902,0.056346749226006194,0.8708133971291866,19.0,1618.9473684210527
0,petrol,std,two,sedan,rwd,103.5,193.8,67.9,53.7,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400,16,22,41315.0,bmw,x5,Low,227.0054945054945,0.05384615384615385,0.8708133971291866,19.0,2174.4736842105262
0,petrol,std,four,sedan,rwd,110.0,197.0,70.9,56.3,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400,15,20,36880.0,bmw,x3,Low,202.63736263736263,0.051925820256776035,0.8708133971291866,17.5,2107.4285714285716
2,petrol,std,two,hatchback,fwd,88.4,141.1,60.3,53.2,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100,47,53,5151.0,chevrolet,impala,Standard,107.3125,0.03225806451612903,0.7868852459016393,50.0,103.02
1,petrol,std,two,hatchback,fwd,94.5,155.9,63.6,52.0,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6295.0,chevrolet,monte carlo,Standard,89.92857142857143,0.03735325506937033,0.7777777777777778,40.5,155.4320987654321
0,petrol,std,four,sedan,fwd,94.5,158.8,63.6,52.0,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6575.0,chevrolet,vega 2300,Standard,93.92857142857143,0.03666841278156103,0.7777777777777778,40.5,162.34567901234567
1,petrol,std,two,hatchback,fwd,93.7,157.3,63.8,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500,37,41,5572.0,dodge,rampage,Standard,81.94117647058823,0.03624733475479744,0.7555555555555555,39.0,142.87179487179486
1,petrol,std,two,hatchback,fwd,93.7,157.3,63.8,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6377.0,dodge,challenger se,Standard,93.77941176470588,0.03624733475479744,0.7555555555555555,34.5,184.84057971014494
1,petrol,turbo,two,hatchback,fwd,93.7,157.3,63.8,50.8,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,7957.0,dodge,d200,Low,78.00980392156863,0.047932330827067667,1.0408163265306123,27.0,294.7037037037037
1,petrol,std,four,hatchback,fwd,93.7,157.3,63.8,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229.0,dodge,monaco (sw),Standard,91.6029411764706,0.03457041179461108,0.7555555555555555,34.5,180.55072463768116
